Function	Topology	PSO	Phi	Error	Position	Iter
griewank	ring_topology	inertia_weight	(2.05, 2.05)	6.52624843056E-010	[-276.46017906 -276.46017906]	487
griewank	neumann_topology	inertia_weight	(2, 1)	0.000000007	[ 69.11511876  69.11512532]	168
griewank	ring_topology	inertia_weight	(0.01, 0.01)	1.91307574227E-008	[ 185.35379937  185.35386503]	479
griewank	ring_topology	inertia_weight	(1, 2)	3.04517008276E-008	[ 157.07978711  157.07982518]	467
griewank	neumann_topology	inertia_weight	(1, 2)	6.03231342655E-008	[-342.43356266  342.43394465]	160
griewank	ring_topology	inertia_weight	(2, 1)	7.08424212625E-008	[-593.7613822   593.76094604]	443
griewank	ring_topology	constriction_factor	(2, 1)	7.87905356514E-008	[ 47.12349845  -9.42471147]	343
griewank	ring_topology	main	(2, 1)	1.00229839783E-006	[   9.42355306  109.95645296]	342
griewank	full_topology	inertia_weight	(2.05, 2.05)	1.44787414702E-006	[ 493.22841054 -493.23051461]	384
griewank	full_topology	inertia_weight	(2, 1)	2.89151402011E-006	[ 578.0554511   578.05295122]	192
griewank	full_topology	constriction_factor	(2.05, 2.05)	4.17393016316E-006	[ 157.08114588  -43.98475847]	457
griewank	full_topology	main	(2, 1)	4.33749358764E-006	[-565.48611303 -571.77275366]	230
griewank	full_topology	inertia_weight	(0.01, 0.01)	4.60478812148E-006	[ -65.97632364 -235.62041191]	470
griewank	neumann_topology	inertia_weight	(2.05, 2.05)	4.87851230857E-006	[ 496.37475841  496.37180654]	245
griewank	neumann_topology	constriction_factor	(2, 1)	6.63868826056E-006	[-238.76468545  -12.56635472]	221
griewank	full_topology	main	(2.05, 2.05)	7.21343893373E-006	[-147.65270712 -147.65172187]	458
griewank	ring_topology	main	(1, 2)	8.19066908753E-006	[ 490.09096173  490.0852771 ]	470
griewank	full_topology	main	(0.01, 0.01)	1.05718785461E-005	[ 194.77817552 -339.29656949]	17
griewank	neumann_topology	inertia_weight	(0.01, 0.01)	1.09524330623E-005	[-153.94013802   15.70377957]	470
griewank	neumann_topology	main	(2, 1)	1.47304576403E-005	[ 245.03916603  245.04618856]	424
griewank	full_topology	main	(1, 2)	0.000021807	[  59.68509038 -461.81822923]	0
griewank	full_topology	constriction_factor	(2, 1)	4.88802526594E-005	[-160.22450182   28.28366267]	277
griewank	full_topology	constriction_factor	(1, 2)	5.07129395763E-005	[ 351.84833832  295.31051419]	268
griewank	neumann_topology	constriction_factor	(2.05, 2.05)	5.38543526166E-005	[-157.06988107 -207.34866705]	123
griewank	ring_topology	constriction_factor	(2.05, 2.05)	5.39464397685E-005	[ -40.84963741  304.72918668]	372
griewank	neumann_topology	main	(0.01, 0.01)	5.7241905832E-005	[-251.32135097  -50.27429984]	6
griewank	ring_topology	main	(2.05, 2.05)	0.0001459973	[ 103.68439425  103.68488241]	253
griewank	neumann_topology	main	(1, 2)	0.0001568094	[-25.15020254  25.12978647]	374
griewank	full_topology	constriction_factor	(0.01, 0.01)	0.0001618536	[-153.92029608 -574.91443373]	19
griewank	neumann_topology	constriction_factor	(1, 2)	0.0001656466	[ 34.56084334 -91.12408258]	82
griewank	ring_topology	constriction_factor	(1, 2)	0.0001911662	[-351.87720475 -301.59817407]	36
griewank	ring_topology	main	(0.01, 0.01)	0.0002001865	[ 367.54633802 -273.3180238 ]	476
griewank	neumann_topology	constriction_factor	(0.01, 0.01)	0.0002066305	[ 138.21954374 -138.24746474]	19
griewank	neumann_topology	main	(2.05, 2.05)	0.0002949934	[-267.01553657 -109.96975916]	480
griewank	ring_topology	constriction_factor	(0.01, 0.01)	0.000797106	[ -56.53398658 -276.42301882]	33
griewank	full_topology	inertia_weight	(1, 2)	0.0009765947	[ 436.68176256  600.        ]	258
						
sphere	full_topology	inertia_weight	(0.01, 0.01)	1.3777039716E-024	[ -7.61874177e-13   8.92889528e-13]	499
sphere	neumann_topology	inertia_weight	(0.01, 0.01)	1.58159703057E-020	[  5.29403937e-11   1.14075786e-10]	491
sphere	ring_topology	inertia_weight	(0.01, 0.01)	1.15673000798E-017	[  2.73790008e-09  -2.01772229e-09]	499
sphere	full_topology	constriction_factor	(2.05, 2.05)	1.6429065284E-016	[ -1.25903469e-08  -2.40287722e-09]	485
sphere	full_topology	constriction_factor	(2, 1)	3.10631093972E-014	[  8.64465475e-08  -1.53590702e-07]	318
sphere	neumann_topology	constriction_factor	(2.05, 2.05)	7.89953222405E-013	[  8.25565926e-07   3.29232629e-07]	243
sphere	neumann_topology	constriction_factor	(2, 1)	1.20174681713E-012	[ -8.09893716e-07  -7.38795632e-07]	499
sphere	full_topology	constriction_factor	(1, 2)	1.27344373083E-011	[ -1.97878459e-06  -2.96965467e-06]	456
sphere	neumann_topology	constriction_factor	(1, 2)	5.84588913113E-010	[  2.39405023e-05  -3.38249388e-06]	480
sphere	full_topology	inertia_weight	(2, 1)	2.09589679966E-009	[ -1.86417044e-05   4.18136779e-05]	321
