"Function"	"Initial num swarms"	"Final num swarms"	"Starvation kt"	"Score"	"Error"	"Position"	"Iter"
"griewank"	"5"	"4"	"0.5"	"4.80833817207e-10"	"4.80833817207e-10"	"[-502.65481397  370.70796227]"	"94"	"18444"
"griewank"	"1"	"5"	"0.2"	"1.177565081e-07"	"1.177565081e-07"	"[ 131.94667753 -358.14199811]"	"78"	"11300"
"griewank"	"5"	"4"	"1.0"	"4.37520326413e-07"	"4.37520326413e-07"	"[-241.90173516  141.37192736]"	"80"	"9827"
"griewank"	"1"	"3"	"0.5"	"1.21070439674e-06"	"1.21070439674e-06"	"[-194.77840405   31.41440815]"	"19"	"2071"
"griewank"	"1"	"5"	"3.0"	"1.61861655612e-06"	"1.61861655612e-06"	"[-628.31701651  722.56728213]"	"63"	"12757"
"griewank"	"10"	"6"	"0.2"	"3.8291188843e-06"	"3.8291188843e-06"	"[ 348.71432167  606.32864407]"	"68"	"7825"
"griewank"	"5"	"5"	"2.0"	"7.33551159238e-06"	"7.33551159238e-06"	"[ 251.32724092 -590.61559243]"	"34"	"8276"
"griewank"	"1"	"4"	"2.0"	"7.93180762004e-06"	"7.93180762004e-06"	"[ 556.06533864  317.29884872]"	"106"	"8613"
"griewank"	"10"	"2"	"1.0"	"8.61907782779e-06"	"8.61907782779e-06"	"[-106.81825014 -232.47720148]"	"76"	"5655"
"griewank"	"20"	"1"	"3.0"	"8.6282337558e-06"	"8.6282337558e-06"	"[  43.97864519 -439.82495133]"	"2"	"1743"
"griewank"	"10"	"4"	"3.0"	"1.14853185214e-05"	"1.14853185214e-05"	"[ 179.06658107  122.51980499]"	"13"	"2256"
"griewank"	"5"	"1"	"3.0"	"1.54489891795e-05"	"1.54489891795e-05"	"[ 251.33140726   62.82798806]"	"55"	"3278"
"griewank"	"1"	"4"	"1.0"	"2.45221644189e-05"	"2.45221644189e-05"	"[ 540.36064774  257.61259828]"	"63"	"6526"
"griewank"	"5"	"4"	"0.2"	"5.00595729267e-05"	"5.00595729267e-05"	"[-172.78083766 -342.44097802]"	"43"	"4225"
"griewank"	"20"	"1"	"0.5"	"0.000152935953987"	"0.000152935953987"	"[ 182.222489    -12.55210277]"	"2"	"2319"
"griewank"	"20"	"1"	"2.0"	"0.000185304517953"	"0.000185304517953"	"[-471.25029207   37.68359389]"	"2"	"2115"
"griewank"	"10"	"1"	"2.0"	"0.000526857792674"	"0.000526857792674"	"[ -50.24591816 -345.54928568]"	"2"	"483"
"griewank"	"10"	"1"	"0.5"	"0.000569385829155"	"0.000569385829155"	"[ 380.13961112  304.76752202]"	"2"	"665"
"griewank"	"20"	"1"	"1.0"	"0.000937041843489"	"0.000937041843489"	"[ 106.81793989 -125.62057815]"	"2"	"1885"
"griewank"	"20"	"1"	"0.2"	"0.00119297943753"	"0.00119297943753"	"[ 596.90727334  288.97789647]"	"2"	"2393"

"Function"	"Topology"	"PSO"	"Phi"	"Score"	"Error"	"Position"	"Iter"
"griewank"	"ring_topology"	"inertia_weight"	"(1, 2)"	"4.44488980067e-08"	"4.44488980067e-08"	"[-578.05314726 -578.0533295 ]"	"430"	"10000"
"griewank"	"ring_topology"	"inertia_weight"	"(2, 1)"	"1.09463379028e-07"	"1.09463379028e-07"	"[-549.77918152  549.77874096]"	"452"	"10000"
